mofname,target
acs+N101+E76,327.2610658
acs+N102+E153,506.7942698
acs+N125+E185,364.5793118
acs+N125+E206,406.3961717
acs+N152+E206,354.754924
acs+N16+E44,509.7464116
acs+N197+E44,553.3666836
acs+N197+E51,426.7409032
acs+N221+E14,223.594778
acs+N221+E98,521.3732105
acs+N232+E0,421.8225271
acs+N265+E51,284.002865
acs+N268+E21,506.7522321
acs+N270+E0,523.7990254
acs+N278+E14,508.6222991
acs+N287+E51,426.4914211
acs+N30+E222,525.1921347
acs+N308+E187,566.3847289
acs+N308+E52,419.9030929
acs+N308+E82,521.7836373
acs+N328+E2,532.8936323
acs+N340+E77,542.8191946
acs+N343+E165,354.2459944
acs+N343+E234,571.3998825
acs+N343+E32,560.7742848
acs+N356+E165,377.0153899
acs+N37+E199,448.7539425
acs+N400+E219,495.8743199
acs+N421+E120,512.3404895
acs+N421+E217,448.178539
acs+N422+E69,443.1620533
acs+N422+E84,483.6817888
acs+N433+E184,414.9542067
acs+N442+E96,534.72099
acs+N465+E216,109.3589677
acs+N481+E216,405.5106424
acs+N481+E69,377.9155657
acs+N481+E92,406.661651
acs+N49+E131,272.9574892
acs+N504+E196,506.1796194
acs+N504+E47,544.898158
acs+N533+E204,359.7704243
acs+N536+E165,180.032393
acs+N536+E204,434.4393425
acs+N553+E92,561.7155381
acs+N554+E0,486.5271744
acs+N554+E101,511.9473365
acs+N554+E146,539.4659189
acs+N554+E173,376.9669692
acs+N554+E24,542.029852
acs+N554+E38,527.442013
acs+N554+E41,493.4579587
acs+N554+E57,532.9957967
acs+N554+E69,466.1955616
acs+N574+E39,560.2255097
acs+N577+E126,554.217645
acs+N589+E148,543.8741829
acs+N589+E165,152.5057806
acs+N589+E18,465.1415533
acs+N589+E184,333.6417557
acs+N645+E11,556.4895197
acs+N645+E150,566.9449932
acs+N645+E47,536.1315201
acs+N645+E92,417.9255096
acs+N667+E185,393.2747823
acs+N674+E221,539.117067
acs+N691+E206,418.9756417
acs+N86+E0,448.2986455
acs+N86+E168,449.5200134
acs+N86+E219,475.1951868
acs+N86+E50,260.9675351
acs+N86+E58,360.2690996
acs+N9+E131,479.6752324
acs+N9+E81,472.2624437
acs+N92+E215,512.9861192
acs-a+N109+E40,421.1850221
acs-a+N113+E104,445.3330881
acs-a+N113+E135,464.076337
acs-a+N113+E170,413.9998335
acs-a+N113+E58,501.9956238
acs-a+N113+E63,517.3974599
acs-a+N136+E212,456.8717854
acs-a+N156+E14,442.5488104
acs-a+N156+E35,399.606932
acs-a+N161+E128,470.2752347
acs-a+N161+E14,437.7483177
